iteration,trial_id,score,config
3056,00ad307c,0.5339805825242718,"{'batch_size': 64, 'm_lambda': 1.668665338024508, 'num_HL': 3, 'latent_dim': 2, 'opt_lr': 7.269340874199071e-05, 'opt_wd': 1.2605537385277866e-06}"
3353,33ef5703,0.6127292340884574,"{'batch_size': 64, 'm_lambda': 0.613587636467232, 'num_HL': 6, 'latent_dim': 3, 'opt_lr': 0.00028389227848866214, 'opt_wd': 7.093353556924727e-06}"
4152,9fe671a7,0.7076591154261058,"{'batch_size': 129, 'm_lambda': 1.3224553184925212, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 0.0004998335197407998, 'opt_wd': 7.146659415978198e-06}"
4908,ba816a45,0.6554476806903992,"{'batch_size': 129, 'm_lambda': 1.8240155602678354, 'num_HL': 4, 'latent_dim': 4, 'opt_lr': 0.0002676582476551423, 'opt_wd': 5.95392355221127e-06}"
5755,4002d043,0.6090614886731391,"{'batch_size': 129, 'm_lambda': 1.2747151654004008, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.00020565391183412956, 'opt_wd': 5.851210253235627e-06}"
5852,96f532a9,0.6170442286947141,"{'batch_size': 64, 'm_lambda': 1.2047635468336797, 'num_HL': 6, 'latent_dim': 5, 'opt_lr': 4.124574258888977e-05, 'opt_wd': 7.455979800942468e-06}"
7824,155fbf62,0.6750809061488673,"{'batch_size': 64, 'm_lambda': 0.1639359012117303, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.00013906586881199819, 'opt_wd': 3.028209608531452e-07}"
8154,3bd556cc,0.6197411003236246,"{'batch_size': 64, 'm_lambda': 1.1269089171615103, 'num_HL': 3, 'latent_dim': 3, 'opt_lr': 0.00021210178110512182, 'opt_wd': 6.808353548166486e-06}"
8467,d66ad477,0.6774541531823085,"{'batch_size': 129, 'm_lambda': 1.1641451697693102, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.000216509320083189, 'opt_wd': 5.193205964538147e-06}"
10638,f8f46b49,0.5927723840345199,"{'batch_size': 129, 'm_lambda': 2.0910294462471657, 'num_HL': 7, 'latent_dim': 3, 'opt_lr': 5.543779056203449e-05, 'opt_wd': 8.640113527981248e-06}"
11062,53b99a21,0.6633764832793958,"{'batch_size': 129, 'm_lambda': 1.6155346769372891, 'num_HL': 2, 'latent_dim': 6, 'opt_lr': 0.0001071541796073676, 'opt_wd': 3.2765227604717574e-06}"
11610,81f927f0,0.5587918015102481,"{'batch_size': 129, 'm_lambda': 1.3240713592528919, 'num_HL': 4, 'latent_dim': 2, 'opt_lr': 7.519542444683482e-05, 'opt_wd': 2.2753918432957013e-06}"
12287,42e51723,0.6375943905070118,"{'batch_size': 129, 'm_lambda': 2.407036346585554, 'num_HL': 6, 'latent_dim': 4, 'opt_lr': 0.0002188800219584223, 'opt_wd': 6.07194799520694e-08}"
13094,3bfbbc6e,0.6585760517799353,"{'batch_size': 64, 'm_lambda': 1.0291720772029402, 'num_HL': 6, 'latent_dim': 6, 'opt_lr': 2.7307100833581835e-05, 'opt_wd': 5.1209543973844626e-06}"
13996,16d1f760,0.6196332254584681,"{'batch_size': 129, 'm_lambda': 1.1706461047284051, 'num_HL': 5, 'latent_dim': 4, 'opt_lr': 9.703391111674975e-05, 'opt_wd': 3.0247537831452013e-06}"
14325,e7acf7c8,0.6193635382955771,"{'batch_size': 129, 'm_lambda': 2.003604047297196, 'num_HL': 8, 'latent_dim': 4, 'opt_lr': 1.1473919945356719e-05, 'opt_wd': 6.138772629640015e-06}"
14326,9347dcbc,0.6794498381877022,"{'batch_size': 129, 'm_lambda': 2.923545794461429, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.0005835855986564343, 'opt_wd': 8.348376400153308e-06}"
14327,e0a109f4,0.7050701186623518,"{'batch_size': 129, 'm_lambda': 0.7120369952475064, 'num_HL': 3, 'latent_dim': 8, 'opt_lr': 0.0004702601170502515, 'opt_wd': 4.44254224456454e-06}"
14328,a7f6d24f,0.6989751887810141,"{'batch_size': 129, 'm_lambda': 0.7174238458947437, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.0008430112772001115, 'opt_wd': 9.838052744338626e-06}"
14740,5e77142c,0.6170981661272923,"{'batch_size': 64, 'm_lambda': 1.5021306685592304, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 1.1853015425061618e-05, 'opt_wd': 4.521086156254889e-06}"
15315,3e7e455a,0.6788025889967637,"{'batch_size': 129, 'm_lambda': 2.404619257805846, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 4.4406902332664196e-05, 'opt_wd': 3.6631043454780415e-07}"
16418,a2f5b690,0.6827939590075511,"{'batch_size': 129, 'm_lambda': 0.15464480987984475, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 0.0009300926908423435, 'opt_wd': 8.26446106239198e-06}"
17513,110fabb8,0.6966019417475728,"{'batch_size': 129, 'm_lambda': 0.884010084035957, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.00043878792378227577, 'opt_wd': 9.420164960874707e-06}"
17819,b9dc29a0,0.6455771305285868,"{'batch_size': 64, 'm_lambda': 2.358822226767065, 'num_HL': 5, 'latent_dim': 6, 'opt_lr': 5.7537581247396346e-05, 'opt_wd': 6.2484961710336486e-06}"
17826,03033224,0.6318770226537217,"{'batch_size': 129, 'm_lambda': 0.4495559671402083, 'num_HL': 7, 'latent_dim': 8, 'opt_lr': 0.00098537730245703, 'opt_wd': 9.45794428069669e-06}"
18162,2624947d,0.705933117583603,"{'batch_size': 129, 'm_lambda': 0.40288657144339446, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0006601238709516441, 'opt_wd': 5.167374353837955e-06}"
19540,9d0bfff1,0.6254584681769148,"{'batch_size': 129, 'm_lambda': 0.3862293589362955, 'num_HL': 5, 'latent_dim': 8, 'opt_lr': 0.00014371463538719853, 'opt_wd': 1.5791045173513857e-06}"
19694,b5ab3b38,0.7011866235167206,"{'batch_size': 129, 'm_lambda': 1.4649091910714547, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.0006733248500461934, 'opt_wd': 3.5205284123513075e-06}"
20260,52c87507,0.6964401294498381,"{'batch_size': 129, 'm_lambda': 2.8309336941341785, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.0004736868228112567, 'opt_wd': 7.995113841132819e-06}"
21151,e24992aa,0.7011326860841424,"{'batch_size': 64, 'm_lambda': 0.5368496464386783, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 0.00036782944690156867, 'opt_wd': 5.609679929238718e-06}"
22210,1bfd3f97,0.6930960086299892,"{'batch_size': 129, 'm_lambda': 1.694985624298733, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 0.0004901890633376917, 'opt_wd': 1.2381121171081558e-06}"
22699,e8f8ecb9,0.6997303128371088,"{'batch_size': 129, 'm_lambda': 0.9062759273722727, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 0.00035540671290510876, 'opt_wd': 4.318358497252267e-06}"
23079,4daa2a8d,0.7062567421790724,"{'batch_size': 129, 'm_lambda': 0.3150050587495805, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0006819774967938854, 'opt_wd': 7.559169057899411e-06}"
23081,81286e79,0.7106256742179073,"{'batch_size': 129, 'm_lambda': 0.7203926715224815, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.0003389984701975531, 'opt_wd': 3.987460070268744e-06}"
23084,e327adc6,0.6477885652642934,"{'batch_size': 64, 'm_lambda': 1.798064649076017, 'num_HL': 7, 'latent_dim': 6, 'opt_lr': 0.0007859411116950527, 'opt_wd': 5.503978755187673e-06}"
23490,f07d4ef6,0.6877562028047465,"{'batch_size': 64, 'm_lambda': 0.9357732022564464, 'num_HL': 3, 'latent_dim': 5, 'opt_lr': 0.000995794163189302, 'opt_wd': 4.858970480871718e-06}"
25536,a51db3f4,0.6857605177993527,"{'batch_size': 129, 'm_lambda': 2.209396122906527, 'num_HL': 5, 'latent_dim': 9, 'opt_lr': 0.00029673967107402834, 'opt_wd': 9.05365329510526e-06}"
25545,44ca0381,0.6764293419633225,"{'batch_size': 129, 'm_lambda': 1.8432315117521196, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.00014977457659963775, 'opt_wd': 6.6671911708809094e-06}"
25939,81297a82,0.6795037756202804,"{'batch_size': 129, 'm_lambda': 1.1503400141404896, 'num_HL': 4, 'latent_dim': 9, 'opt_lr': 1.5418883030377382e-05, 'opt_wd': 2.727570638516369e-06}"
27138,3381e96a,0.6846817691477887,"{'batch_size': 64, 'm_lambda': 0.7418112067323501, 'num_HL': 5, 'latent_dim': 7, 'opt_lr': 0.0003255467149041753, 'opt_wd': 2.1642106382867387e-06}"
27523,40e27cbe,0.6660194174757283,"{'batch_size': 129, 'm_lambda': 1.3760002370742348, 'num_HL': 4, 'latent_dim': 7, 'opt_lr': 0.00017386051776718884, 'opt_wd': 6.226734139514077e-06}"
28369,382f298d,0.6725997842502698,"{'batch_size': 129, 'm_lambda': 0.5916483597033799, 'num_HL': 4, 'latent_dim': 6, 'opt_lr': 0.00025848489538878564, 'opt_wd': 1.0946361862221084e-06}"
28475,0ebf7d24,0.6211974110032361,"{'batch_size': 129, 'm_lambda': 0.2240515842833497, 'num_HL': 6, 'latent_dim': 9, 'opt_lr': 0.00010521853560150559, 'opt_wd': 3.780406239425908e-06}"
29118,b1090a0a,0.5458468176914779,"{'batch_size': 129, 'm_lambda': 1.0135755017237202, 'num_HL': 8, 'latent_dim': 2, 'opt_lr': 7.933508163426282e-05, 'opt_wd': 4.010064094427838e-06}"
29321,8e861c64,0.6539374325782092,"{'batch_size': 129, 'm_lambda': 2.0033981293798466, 'num_HL': 2, 'latent_dim': 6, 'opt_lr': 0.0002591473898955762, 'opt_wd': 7.426083332752181e-06}"
29871,5a9f9892,0.6830636461704422,"{'batch_size': 64, 'm_lambda': 1.5755896536784335, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00019846220368028428, 'opt_wd': 6.712691487047383e-06}"
32406,d879e9b1,0.6990291262135923,"{'batch_size': 129, 'm_lambda': 1.4254125409644929, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.0004002210703280713, 'opt_wd': 1.8904941232911552e-06}"
32787,95f435b8,0.6492448759439051,"{'batch_size': 64, 'm_lambda': 1.7374807702833097, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.00012762862758962214, 'opt_wd': 3.3388398471985406e-06}"
33079,ce2c029a,0.6537756202804748,"{'batch_size': 64, 'm_lambda': 1.594211377273143, 'num_HL': 3, 'latent_dim': 4, 'opt_lr': 0.00011745045885611891, 'opt_wd': 6.468671740603423e-06}"
33500,b22eae29,0.6531823085221143,"{'batch_size': 129, 'm_lambda': 1.0632465929026433, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.00017626334438697002, 'opt_wd': 4.798067833222626e-06}"
34103,8da85ef5,0.6581445523193096,"{'batch_size': 129, 'm_lambda': 1.286670332181471, 'num_HL': 4, 'latent_dim': 5, 'opt_lr': 0.0005447254091191376, 'opt_wd': 7.700683971939884e-07}"
34899,3d235c10,0.609546925566343,"{'batch_size': 129, 'm_lambda': 1.8848097844850296, 'num_HL': 5, 'latent_dim': 3, 'opt_lr': 9.058525055197813e-05, 'opt_wd': 5.760205353745898e-06}"
34920,52f92d9c,0.6060409924487594,"{'batch_size': 129, 'm_lambda': 0.7937477883041761, 'num_HL': 6, 'latent_dim': 4, 'opt_lr': 3.454866223094111e-05, 'opt_wd': 2.571218550918479e-06}"
36352,991257ba,0.6221682847896439,"{'batch_size': 129, 'm_lambda': 0.10806783223144512, 'num_HL': 7, 'latent_dim': 5, 'opt_lr': 0.0003091221234232021, 'opt_wd': 2.9099493240100632e-06}"
36422,9b492864,0.6955231930960086,"{'batch_size': 129, 'm_lambda': 1.9606616777757062, 'num_HL': 5, 'latent_dim': 6, 'opt_lr': 0.000586298690655483, 'opt_wd': 7.928588364452598e-06}"
37911,e4ddea1e,0.7064724919093852,"{'batch_size': 129, 'm_lambda': 2.6253836423642207, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.00023394871307260594, 'opt_wd': 3.853548279589554e-06}"
38222,215f77d5,0.6412081984897519,"{'batch_size': 129, 'm_lambda': 0.6325749612253835, 'num_HL': 6, 'latent_dim': 7, 'opt_lr': 0.0007914634959760861, 'opt_wd': 4.247323802813057e-06}"
38994,689ca938,0.6620280474649407,"{'batch_size': 129, 'm_lambda': 2.5485771146187224, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 2.2420801520419818e-05, 'opt_wd': 7.347206530049345e-06}"
40492,24424782,0.6996224379719524,"{'batch_size': 129, 'm_lambda': 0.4828755597171831, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.0008886779556720732, 'opt_wd': 7.80731985914998e-06}"
40523,ae9b7b1c,0.685814455231931,"{'batch_size': 129, 'm_lambda': 0.25713830359545553, 'num_HL': 3, 'latent_dim': 6, 'opt_lr': 0.00017451734158032778, 'opt_wd': 6.074392593237003e-06}"
41149,db504d90,0.6820388349514563,"{'batch_size': 129, 'm_lambda': 1.2085195597760503, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 6.358145356249216e-05, 'opt_wd': 7.020811361871129e-06}"
42571,e1b8286e,0.6818770226537217,"{'batch_size': 129, 'm_lambda': 1.5149295640145242, 'num_HL': 2, 'latent_dim': 7, 'opt_lr': 0.0005038905357619587, 'opt_wd': 4.628338364808048e-06}"
43724,2d1adc41,0.6956850053937432,"{'batch_size': 129, 'm_lambda': 0.8762221823018981, 'num_HL': 4, 'latent_dim': 8, 'opt_lr': 0.0004115416453165763, 'opt_wd': 5.3588359205702075e-06}"
43799,3065221a,0.7014023732470335,"{'batch_size': 129, 'm_lambda': 2.5855911406795076, 'num_HL': 3, 'latent_dim': 7, 'opt_lr': 0.0003717207097233947, 'opt_wd': 3.7144248365695545e-06}"
44338,dff8bc4f,0.6648867313915858,"{'batch_size': 64, 'm_lambda': 2.098722222181113, 'num_HL': 2, 'latent_dim': 8, 'opt_lr': 4.492228020278707e-05, 'opt_wd': 8.745176837205757e-06}"
44894,db705c54,0.6896440129449839,"{'batch_size': 129, 'm_lambda': 2.3157497369241797, 'num_HL': 3, 'latent_dim': 9, 'opt_lr': 0.0006183613545975231, 'opt_wd': 5.0163632642976945e-06}"
