iteration,trial_id,score,config
1438,0ba91124,0.6097087378640776,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 9, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.45142130863100427, 'latent_dim': 11, 'opt_lr': 9.636352549897356e-05, 'opt_wd': 3.031126813636409e-06}"
6476,9c99608b,0.597411003236246,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 20, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.979693591103732, 'latent_dim': 10, 'opt_lr': 0.0009390841784865349, 'opt_wd': 5.053027721143004e-06}"
7311,c0e74c50,0.5528586839266451,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 17, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.7341905597927103, 'latent_dim': 7, 'opt_lr': 2.192651529726075e-05, 'opt_wd': 7.657160337559517e-06}"
8058,5843cb41,0.5603559870550161,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 15, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.8889339226371555, 'latent_dim': 7, 'opt_lr': 2.918861031415592e-05, 'opt_wd': 1.0821682456266226e-06}"
8850,f9dde49c,0.6001078748651565,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 11, 'kernel': 4, 'num_HL': 3, 'm_lambda': 0.8401404668806618, 'latent_dim': 17, 'opt_lr': 0.00021993513290257104, 'opt_wd': 2.553340662976519e-06}"
11538,970959af,0.49568500539374327,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 22, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.1886597570536364, 'latent_dim': 11, 'opt_lr': 5.3793199988512605e-05, 'opt_wd': 4.993552792062752e-06}"
20825,a1fa533a,0.5140776699029126,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 30, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.9481363259435676, 'latent_dim': 17, 'opt_lr': 0.00013694028940653547, 'opt_wd': 8.315297240048781e-06}"
21869,df6555fd,0.5344660194174757,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 31, 'kernel': 2, 'num_HL': 3, 'm_lambda': 1.0641828493984846, 'latent_dim': 5, 'opt_lr': 0.00012625104028777197, 'opt_wd': 8.233186627667477e-07}"
22945,d66d9cfc,0.5724919093851133,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 17, 'kernel': 4, 'num_HL': 3, 'm_lambda': 1.9572324940100958, 'latent_dim': 16, 'opt_lr': 0.00027525353981404745, 'opt_wd': 4.293962380853163e-06}"
23403,01fff8b2,0.6233009708737864,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 20, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.2787122821854398, 'latent_dim': 11, 'opt_lr': 1.7756681565539278e-05, 'opt_wd': 1.5666448009223357e-06}"
24190,f14b38ca,0.540722761596548,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.450661308102448, 'latent_dim': 11, 'opt_lr': 3.9503908379574466e-05, 'opt_wd': 4.286538793897879e-06}"
24906,bd388391,0.4990291262135923,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 10, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.5838466372521047, 'latent_dim': 9, 'opt_lr': 2.485424472889791e-05, 'opt_wd': 8.41519412426918e-06}"
25502,7ea4817e,0.5659654800431498,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 8, 'kernel': 4, 'num_HL': 3, 'm_lambda': 2.8358317925313257, 'latent_dim': 11, 'opt_lr': 0.000247990258476947, 'opt_wd': 7.1511702237902406e-06}"
25972,13beb873,0.4391585760517799,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 30, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.100626924798673, 'latent_dim': 3, 'opt_lr': 1.8326659449373655e-05, 'opt_wd': 2.8250831714082228e-06}"
26410,8e65f5b8,0.6560949298813377,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 7, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.342479065699975, 'latent_dim': 10, 'opt_lr': 1.443085817961322e-05, 'opt_wd': 5.773315881434769e-06}"
27397,006816a8,0.6024811218985976,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 27, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.6323280138479328, 'latent_dim': 12, 'opt_lr': 0.0005583567989099401, 'opt_wd': 2.9787428482543047e-06}"
28871,1b1b6c2e,0.47357065803667747,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 22, 'kernel': 2, 'num_HL': 2, 'm_lambda': 1.4161782893247719, 'latent_dim': 2, 'opt_lr': 4.2083979498189816e-05, 'opt_wd': 5.303194676506226e-06}"
37157,54b77865,0.505933117583603,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 23, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.1899746983923754, 'latent_dim': 9, 'opt_lr': 1.3530713901681192e-05, 'opt_wd': 9.756971688205832e-06}"
37827,99a1e0af,0.5485436893203883,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 9, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.7115369572308197, 'latent_dim': 7, 'opt_lr': 0.0002981495204378756, 'opt_wd': 3.786317863345127e-06}"
38298,25725b64,0.47680690399137,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 16, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.727226578205668, 'latent_dim': 14, 'opt_lr': 2.2580099507404433e-05, 'opt_wd': 8.704623578597431e-06}"
41810,e60f4993,0.4889428263214671,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 2, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.7100279423956153, 'latent_dim': 14, 'opt_lr': 1.1035052909280634e-05, 'opt_wd': 6.427705773949912e-06}"
42458,d331f82b,0.6326860841423948,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 13, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.4264228192332546, 'latent_dim': 13, 'opt_lr': 1.5445960275273888e-05, 'opt_wd': 6.268367900076884e-06}"
43057,64123a47,0.5946601941747574,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 5, 'kernel': 3, 'num_HL': 2, 'm_lambda': 2.440200502567827, 'latent_dim': 13, 'opt_lr': 6.838814949643727e-05, 'opt_wd': 6.382111741962917e-06}"
43921,37a144f7,0.641208198489752,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 13, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.856009920395795, 'latent_dim': 15, 'opt_lr': 1.303351220420815e-05, 'opt_wd': 6.166288820230208e-06}"
44813,c7ef1961,0.6395900755124057,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 6, 'kernel': 2, 'num_HL': 4, 'm_lambda': 2.9841435931305442, 'latent_dim': 16, 'opt_lr': 1.0143500739320865e-05, 'opt_wd': 5.722954946291109e-06}"
45901,8c1d7238,0.5734088457389428,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 13, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.7750520606367945, 'latent_dim': 15, 'opt_lr': 3.5595971156263095e-05, 'opt_wd': 9.316764444217458e-06}"
46597,fe5cc4a9,0.626051779935275,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 6, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.9417587414019386, 'latent_dim': 5, 'opt_lr': 6.689260885203855e-05, 'opt_wd': 7.085005383057387e-06}"
47690,25cc8b08,0.6686623516720605,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 12, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.509250773810392, 'latent_dim': 9, 'opt_lr': 1.2350192820898002e-05, 'opt_wd': 3.842102892181106e-06}"
51912,35e424bb,0.5361380798274002,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 3, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.242322415461172, 'latent_dim': 14, 'opt_lr': 1.0248054918771846e-05, 'opt_wd': 1.0486059502219897e-08}"
52452,e912057a,0.5873786407766991,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 3, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.4461207106411504, 'latent_dim': 5, 'opt_lr': 8.580442947022027e-05, 'opt_wd': 2.040061885191542e-06}"
53254,fee457ab,0.5675296655879181,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 11, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.27290127522105, 'latent_dim': 8, 'opt_lr': 0.00016795060604945193, 'opt_wd': 4.444256664219433e-06}"
53762,68339a2c,0.5942286947141316,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 4, 'kernel': 2, 'num_HL': 4, 'm_lambda': 0.6751996932195891, 'latent_dim': 6, 'opt_lr': 4.913592882082054e-05, 'opt_wd': 7.5854166287309005e-06}"
54673,8a405df5,0.4878640776699029,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 19, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.9951296758396175, 'latent_dim': 10, 'opt_lr': 0.0009303408393755914, 'opt_wd': 3.5078352196049726e-06}"
55290,32037f4f,0.5899137001078749,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 15, 'kernel': 2, 'num_HL': 3, 'm_lambda': 2.3554531312164593, 'latent_dim': 8, 'opt_lr': 0.0004922163476571028, 'opt_wd': 4.896043262511099e-06}"
59087,4774d833,0.4266450916936354,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 7, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.10294383014948849, 'latent_dim': 4, 'opt_lr': 2.5779208168816977e-05, 'opt_wd': 2.2898450722987143e-06}"
59367,b39fb9c0,0.5028047464940668,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 8, 'kernel': 2, 'num_HL': 4, 'm_lambda': 1.4394472737754387, 'latent_dim': 9, 'opt_lr': 3.106845990777263e-05, 'opt_wd': 3.5370562577413055e-06}"
59622,8bd0a2aa,0.5617044228694714,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 11, 'kernel': 4, 'num_HL': 4, 'm_lambda': 1.1620417535348027, 'latent_dim': 12, 'opt_lr': 0.00010159581227461631, 'opt_wd': 5.532389438003771e-06}"
60814,eb7cf38b,0.5799892125134843,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 14, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.0460684367450286, 'latent_dim': 8, 'opt_lr': 2.122624683193819e-05, 'opt_wd': 7.874473988964939e-06}"
65442,940f0f16,0.4865695792880259,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.553055260949777, 'latent_dim': 6, 'opt_lr': 5.6476224673244235e-05, 'opt_wd': 2.6276610876568955e-07}"
66123,e7d09dd6,0.6413700107874865,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 12, 'kernel': 4, 'num_HL': 2, 'm_lambda': 0.6492454274234034, 'latent_dim': 10, 'opt_lr': 3.0556410341597205e-05, 'opt_wd': 1.6972689484837052e-06}"
