iteration,trial_id,score,config
1691,524fdafa,0.6947457627118644,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 4, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.8981869848256645, 'latent_dim': 109, 'opt_lr': 0.00037753406388777296, 'opt_wd': 2.01119044989743e-06}"
2334,b4455fe2,0.7057627118644068,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 31, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.3396275083971885, 'latent_dim': 14, 'opt_lr': 0.0001084705318168585, 'opt_wd': 2.2555726121436905e-06}"
2859,96e26500,0.7164406779661017,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 7, 'kernel': 4, 'num_HL': 2, 'm_lambda': 1.4288362322923853, 'latent_dim': 244, 'opt_lr': 3.834892228607136e-05, 'opt_wd': 3.1124326937758597e-06}"
3715,8ba3ac4a,0.7535593220338984,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 19, 'kernel': 4, 'num_HL': 4, 'm_lambda': 1.2779237769873275, 'latent_dim': 157, 'opt_lr': 3.083319619730444e-05, 'opt_wd': 3.115679887287254e-06}"
4507,c0280831,0.7589830508474578,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 16, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.42096058253445245, 'latent_dim': 102, 'opt_lr': 2.3008755512408613e-05, 'opt_wd': 7.069215378156387e-06}"
6770,6930e77c,0.5993220338983052,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 7, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.0276834464498437, 'latent_dim': 214, 'opt_lr': 8.5844752478192e-05, 'opt_wd': 4.249336523860397e-06}"
6830,48503501,0.6588135593220338,"{'batch_size': 64, 'num_CL': 3, 'size_CL': 15, 'kernel': 3, 'num_HL': 3, 'm_lambda': 0.49720443508713996, 'latent_dim': 219, 'opt_lr': 0.00016616449163897964, 'opt_wd': 8.865331178704673e-06}"
7424,36ae22b3,0.7312711864406779,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.8099822341377112, 'latent_dim': 330, 'opt_lr': 7.304689543597651e-05, 'opt_wd': 9.352715513962315e-06}"
9607,b7187418,0.6134745762711864,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 29, 'kernel': 3, 'num_HL': 4, 'm_lambda': 0.5099653203245256, 'latent_dim': 341, 'opt_lr': 0.00019947591166255197, 'opt_wd': 7.719489922243213e-06}"
11881,3d5c6b86,0.5645762711864407,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 30, 'kernel': 3, 'num_HL': 4, 'm_lambda': 2.187468776488949, 'latent_dim': 219, 'opt_lr': 0.0003093209431691684, 'opt_wd': 9.122727248214977e-06}"
14040,ad24b554,0.6594915254237288,"{'batch_size': 128, 'num_CL': 2, 'size_CL': 3, 'kernel': 2, 'num_HL': 2, 'm_lambda': 2.1368933982585077, 'latent_dim': 156, 'opt_lr': 0.0008369725693293742, 'opt_wd': 2.9022243607792887e-06}"
16206,bf4ef2b5,0.6833898305084747,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 25, 'kernel': 3, 'num_HL': 4, 'm_lambda': 1.85993943062957, 'latent_dim': 128, 'opt_lr': 9.81756735806705e-05, 'opt_wd': 7.291918798579693e-06}"
16492,af439d73,0.5751694915254237,"{'batch_size': 128, 'num_CL': 3, 'size_CL': 10, 'kernel': 2, 'num_HL': 3, 'm_lambda': 0.24270033175818462, 'latent_dim': 175, 'opt_lr': 1.260090388824961e-05, 'opt_wd': 7.199687552838668e-06}"
19565,cf1a994e,0.6492372881355932,"{'batch_size': 64, 'num_CL': 2, 'size_CL': 21, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.4206482646794167, 'latent_dim': 281, 'opt_lr': 0.00020680692728987723, 'opt_wd': 6.005042964265389e-06}"
19622,3c9b8fb8,0.7305932203389831,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 6, 'kernel': 3, 'num_HL': 2, 'm_lambda': 1.2927376987241763, 'latent_dim': 47, 'opt_lr': 6.841795002182387e-05, 'opt_wd': 1.6692630982422963e-06}"
19762,1ea83743,0.6566949152542373,"{'batch_size': 64, 'num_CL': 4, 'size_CL': 27, 'kernel': 3, 'num_HL': 3, 'm_lambda': 2.448629453001545, 'latent_dim': 301, 'opt_lr': 0.00044477235775260143, 'opt_wd': 9.56100178160455e-07}"
22677,3deed0d6,0.6466949152542373,"{'batch_size': 128, 'num_CL': 4, 'size_CL': 18, 'kernel': 3, 'num_HL': 3, 'm_lambda': 1.6498859049816423, 'latent_dim': 148, 'opt_lr': 0.0007309142873495269, 'opt_wd': 9.080830676886866e-06}"
